artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,dia_semana,estacion,tipo_lanzamiento,calidad_intrinseca,popularidad,categoria_popularidad,exito,hit_viral
Feid,Blues,134,219,1,0,1,0,1,Adele,2021-11-24,2021,11,2,Otoño,Single,60,42.45,Media,0,0
Miley Cyrus,Drill,137,179,5,0,1,0,0,,2021-11-24,2021,11,2,Otoño,Single,67,58.02,Media,1,0
Taylor Swift,Country,95,232,1,0,0,1,0,,2021-11-28,2021,11,6,Otoño,Single,77,50.86,Media,1,0
Martin Garrix,Dance,130,190,8,1,0,1,1,Zara Larsson,2021-11-29,2021,11,0,Otoño,Album,43,55.7,Media,1,0
María Becerra,Reggaeton,106,246,8,1,1,0,1,Lil Nas X,2021-12-02,2021,12,3,Invierno,Album,86,70.99,Alta,1,0
Paulo Londra,Techno,154,167,6,0,0,1,0,,2021-12-02,2021,12,3,Invierno,Single,66,66.66,Media,1,0
Katy Perry,Lofi,96,273,6,0,0,1,0,,2021-12-03,2021,12,4,Invierno,Single,70,56.34,Media,1,0
Wisin & Yandel,Tropical,84,199,6,1,0,1,0,,2021-12-03,2021,12,4,Invierno,Single,78,64.65,Media,1,0
David Guetta,Country,109,245,8,0,0,1,0,,2021-12-04,2021,12,5,Invierno,Single,74,49.76,Media,0,0
Selena Gomez,Metal,136,247,11,0,0,1,0,,2021-12-05,2021,12,6,Invierno,Album,42,100.0,Alta,1,1
Sebastian Yatra,Folk,114,236,4,1,0,1,0,,2021-12-06,2021,12,0,Invierno,Single,36,49.57,Media,0,0
Miley Cyrus,Metal,68,180,5,1,0,1,0,,2021-12-11,2021,12,5,Invierno,Album,69,62.83,Media,1,0
Myke Towers,Flamenco,127,258,4,0,1,0,1,Dua Lipa,2021-12-11,2021,12,5,Invierno,Single,43,39.59,Media,0,0
Manuel Turizo,Flamenco,122,213,6,0,0,1,0,,2021-12-13,2021,12,0,Invierno,Single,84,53.55,Media,1,0
Peso Pluma,Country,115,279,10,0,0,1,0,,2021-12-13,2021,12,0,Invierno,Single,60,74.3,Alta,1,1
Camila Cabello,Country,89,248,8,1,0,1,1,David Guetta,2021-12-18,2021,12,5,Invierno,Album,82,68.3,Media,1,0
Lil Baby,Reggaeton,91,217,10,0,0,1,1,SZA,2021-12-18,2021,12,5,Invierno,Single,39,66.29,Media,1,0
Charlie Puth,Techno,125,193,9,1,0,1,1,Post Malone,2021-12-19,2021,12,6,Invierno,Single,60,80.52,Alta,1,0
Jack Harlow,R&B,84,146,2,1,1,0,1,Shawn Mendes,2021-12-19,2021,12,6,Invierno,Single,75,87.23,Alta,1,0
Eminem,Funk,90,193,1,0,0,1,0,,2021-12-20,2021,12,0,Invierno,Album,40,45.81,Media,0,0
Migos,Folk,113,220,3,0,0,1,1,Sebastian Yatra,2021-12-20,2021,12,0,Invierno,Single,58,65.06,Media,1,0
Rauw Alejandro,Pop Latino,121,249,0,0,0,1,0,,2021-12-20,2021,12,0,Invierno,Single,69,73.66,Alta,1,0
Wisin & Yandel,Blues,88,223,5,0,0,1,0,,2021-12-21,2021,12,1,Invierno,Album,46,47.09,Media,0,0
Daddy Yankee,Rock,125,143,10,0,0,1,0,,2021-12-24,2021,12,4,Invierno,Album,46,57.03,Media,1,0
Shakira,Blues,85,238,11,0,1,0,0,,2021-12-25,2021,12,5,Invierno,Single,64,55.79,Media,1,0
Farruko,Soul,126,198,4,0,0,1,1,Doja Cat,2021-12-26,2021,12,6,Invierno,Single,38,50.38,Media,1,0
Olivia Rodrigo,Reggaeton,94,169,5,1,0,1,0,,2021-12-26,2021,12,6,Invierno,Single,41,72.12,Alta,1,1
Ozuna,Folk,105,259,2,0,0,1,0,,2021-12-26,2021,12,6,Invierno,Single,66,54.65,Media,1,0
Peso Pluma,Country,108,238,4,0,0,1,0,,2021-12-26,2021,12,6,Invierno,Single,53,41.61,Media,0,0
Zara Larsson,Metal,89,161,3,0,1,0,1,Miley Cyrus,2021-12-27,2021,12,0,Invierno,Single,35,55.32,Media,1,0
Ariana Grande,Synthwave,129,201,7,1,0,1,0,,2021-12-29,2021,12,2,Invierno,Single,67,55.32,Media,1,0
Tini,Reggaeton,107,247,4,1,0,1,1,Miley Cyrus,2022-01-01,2022,1,5,Invierno,Album,49,48.43,Media,0,0
Feid,Trap,84,227,7,0,0,1,0,,2022-01-02,2022,1,6,Invierno,Single,70,35.49,Media,0,0
Miley Cyrus,Pop,97,202,0,0,0,1,0,,2022-01-05,2022,1,2,Invierno,Single,60,60.3,Media,1,0
Eminem,Disco,94,208,2,1,0,1,0,,2022-01-06,2022,1,3,Invierno,Album,80,55.95,Media,1,0
Katy Perry,Dance,124,251,6,0,0,1,0,,2022-01-06,2022,1,3,Invierno,Single,68,45.22,Media,0,0
Sam Smith,Funk,129,146,5,0,0,1,0,,2022-01-12,2022,1,2,Invierno,Album,47,57.07,Media,1,0
Nicki Minaj,Electrónica,124,188,2,1,0,1,1,Paulo Londra,2022-01-18,2022,1,1,Invierno,Single,95,76.01,Alta,1,0
Nicky Jam,Rock,167,161,6,1,0,1,0,,2022-01-21,2022,1,4,Invierno,Album,54,38.1,Media,0,0
Cardi B,Lofi,90,158,11,1,0,1,1,J Balvin,2022-01-22,2022,1,5,Invierno,Single,81,54.85,Media,1,0
Travis Scott,R&B,117,165,9,0,0,1,1,Wisin & Yandel,2022-01-24,2022,1,0,Invierno,Album,71,54.05,Media,1,0
DaBaby,Synthwave,85,288,8,1,1,0,0,,2022-01-25,2022,1,1,Invierno,Album,69,36.45,Media,0,0
The Weeknd,Techno,126,147,0,0,0,1,0,,2022-01-27,2022,1,3,Invierno,Album,41,32.01,Media,0,0
Adele,Tropical,90,180,1,0,0,1,0,,2022-01-28,2022,1,4,Invierno,Single,64,53.97,Media,1,0
Billie Eilish,Hip Hop,111,188,8,0,0,1,0,,2022-01-29,2022,1,5,Invierno,Single,29,43.7,Media,0,0
Blackpink,Reggaeton,100,252,5,0,0,1,0,,2022-01-31,2022,1,0,Invierno,Single,66,61.03,Media,1,0
Eminem,Funk,122,240,0,1,0,1,0,,2022-02-02,2022,2,2,Invierno,Album,79,53.66,Media,1,0
Lil Uzi Vert,Indie,99,232,8,1,0,1,0,,2022-02-02,2022,2,2,Invierno,Single,49,43.74,Media,0,0
Katy Perry,Lofi,99,190,3,1,0,1,0,,2022-02-04,2022,2,4,Invierno,Single,85,51.4,Media,1,0
Bruno Mars,Urbano,93,216,11,1,0,1,1,Nicki Minaj,2022-02-05,2022,2,5,Invierno,Album,32,48.25,Media,0,0
Ed Sheeran,Rock,177,162,9,1,0,1,0,,2022-02-09,2022,2,2,Invierno,Album,42,28.43,Baja,0,0
Sam Smith,Trap,70,200,3,0,0,1,1,Coldplay,2022-02-09,2022,2,2,Invierno,Single,72,73.43,Alta,1,0
Olivia Rodrigo,Reggaeton,92,239,5,1,0,1,0,,2022-02-10,2022,2,3,Invierno,Album,79,57.0,Media,1,0
Taylor Swift,Flamenco,97,158,1,1,0,1,0,,2022-02-10,2022,2,3,Invierno,Single,52,50.5,Media,1,0
Imagine Dragons,Electrónica,151,251,9,0,1,0,0,,2022-02-14,2022,2,0,Invierno,Single,45,31.6,Media,0,0
María Becerra,House,97,153,4,1,0,1,0,,2022-02-14,2022,2,0,Invierno,Single,59,44.12,Media,0,0
Coldplay,Trap,86,204,4,0,0,1,0,,2022-02-16,2022,2,2,Invierno,Single,86,57.87,Media,1,0
Eminem,Funk,115,199,2,0,0,1,0,,2022-02-17,2022,2,3,Invierno,Single,45,31.89,Media,0,0
BTS,Clásica,82,237,1,1,0,1,0,,2022-02-19,2022,2,5,Invierno,Single,60,47.76,Media,0,0
Calvin Harris,Pop,121,174,5,1,0,1,0,,2022-02-19,2022,2,5,Invierno,Album,74,49.92,Media,0,0
Young Thug,Alternativo,109,153,10,0,0,1,1,Karol G,2022-02-20,2022,2,6,Invierno,Single,79,66.78,Media,1,0
Post Malone,Lofi,104,174,6,1,0,1,0,,2022-02-25,2022,2,4,Invierno,Single,60,48.54,Media,0,0
Shawn Mendes,R&B,89,194,8,1,1,0,0,,2022-02-26,2022,2,5,Invierno,Single,45,37.35,Media,0,0
DaBaby,Rap,84,198,1,0,0,1,0,,2022-03-02,2022,3,2,Primavera,Album,71,49.98,Media,0,0
Rihanna,Clásica,77,163,9,0,0,1,0,,2022-03-02,2022,3,2,Primavera,Album,77,45.45,Media,0,0
Juice WRLD,Urbano,100,222,5,1,0,1,1,Jack Harlow,2022-03-03,2022,3,3,Primavera,Single,36,100.0,Alta,1,1
Harry Styles,Funk,86,148,10,1,0,1,0,,2022-03-05,2022,3,5,Primavera,Album,64,42.66,Media,0,0
Selena Gomez,Metal,166,259,2,1,0,1,0,,2022-03-06,2022,3,6,Primavera,Album,65,63.32,Media,1,0
Twenty One Pilots,Jazz,94,197,2,1,0,1,0,,2022-03-06,2022,3,6,Primavera,Album,51,62.41,Media,1,0
Anuel AA,Jazz,80,143,9,0,0,1,0,,2022-03-12,2022,3,5,Primavera,Single,66,62.45,Media,1,0
Blackpink,Reggaeton,106,268,2,1,0,1,1,Tini,2022-03-12,2022,3,5,Primavera,Single,39,57.49,Media,1,0
Camila Cabello,Country,88,199,7,0,0,1,0,,2022-03-13,2022,3,6,Primavera,Album,45,50.33,Media,1,0
Charlie Puth,Drill,74,212,0,1,0,1,1,Miley Cyrus,2022-03-14,2022,3,0,Primavera,Album,94,100.0,Alta,1,0
Taylor Swift,Country,102,279,8,0,0,1,0,,2022-03-14,2022,3,0,Primavera,Single,44,48.5,Media,0,0
Katy Perry,R&B,123,227,6,0,0,1,0,,2022-03-15,2022,3,1,Primavera,Single,34,45.08,Media,0,0
Anitta,Punk,124,207,8,0,0,1,0,,2022-03-18,2022,3,4,Primavera,Single,49,60.07,Media,1,0
Beyoncé,House,159,173,6,1,0,1,0,,2022-03-18,2022,3,4,Primavera,Album,86,77.14,Alta,1,0
Coldplay,Trap,106,243,0,1,0,1,1,Feid,2022-03-19,2022,3,5,Primavera,Single,38,56.33,Media,1,0
Olivia Rodrigo,Country,104,254,4,1,0,1,0,,2022-03-20,2022,3,6,Primavera,Album,87,80.61,Alta,1,0
Charlie Puth,Drill,82,288,2,0,0,1,0,,2022-03-28,2022,3,0,Primavera,Single,45,100.0,Alta,1,1
SZA,Electrónica,77,189,2,1,1,0,0,,2022-03-29,2022,3,1,Primavera,Album,66,49.61,Media,0,0
Demi Lovato,Techno,157,267,7,1,0,1,0,,2022-03-30,2022,3,2,Primavera,Single,68,61.02,Media,1,0
Feid,Trap,122,204,7,0,0,1,0,,2022-03-30,2022,3,2,Primavera,Album,44,28.23,Baja,0,0
Post Malone,Pop Latino,127,230,0,0,0,1,0,,2022-03-30,2022,3,2,Primavera,Single,56,50.64,Media,1,0
Justin Bieber,Blues,109,174,7,0,0,1,0,,2022-03-31,2022,3,3,Primavera,Album,44,48.92,Media,0,0
DaBaby,Synthwave,87,199,1,1,1,0,0,,2022-04-01,2022,4,4,Primavera,Single,80,44.92,Media,0,0
Maroon 5,Reggaeton,73,216,5,1,0,1,0,,2022-04-01,2022,4,4,Primavera,Single,50,64.57,Media,1,0
Martin Garrix,Drill,105,178,5,1,0,1,0,,2022-04-01,2022,4,4,Primavera,Single,70,54.23,Media,1,0
Camila Cabello,Country,125,233,4,0,0,1,0,,2022-04-04,2022,4,0,Primavera,Album,45,45.28,Media,0,0
Kendrick Lamar,Experimental,173,171,3,1,0,1,0,,2022-04-04,2022,4,0,Primavera,Single,60,43.14,Media,0,0
Dua Lipa,Reggaeton,92,282,3,0,0,1,0,,2022-04-05,2022,4,1,Primavera,Single,32,53.47,Media,1,0
Daddy Yankee,Indie,96,162,4,1,0,1,0,,2022-04-09,2022,4,5,Primavera,Single,82,59.19,Media,1,0
J Balvin,Rock,169,203,5,1,0,1,0,,2022-04-10,2022,4,6,Primavera,Single,77,60.14,Media,1,0
Juice WRLD,Experimental,95,179,7,0,0,1,0,,2022-04-11,2022,4,0,Primavera,Album,33,47.31,Media,0,0
Sebastian Yatra,Folk,123,186,10,0,1,0,0,,2022-04-11,2022,4,0,Primavera,Single,59,70.41,Alta,1,0
Sam Smith,K-Pop,86,151,3,0,0,1,0,,2022-04-12,2022,4,1,Primavera,Album,44,56.8,Media,1,0
Jhayco,Electrónica,126,259,3,1,0,1,1,Paulo Londra,2022-04-13,2022,4,2,Primavera,Single,55,66.2,Media,1,0
Ozuna,Latino,110,252,10,1,0,1,1,Sam Smith,2022-04-13,2022,4,2,Primavera,Single,56,75.07,Alta,1,0
Lady Gaga,Rock,157,162,4,1,0,1,0,,2022-04-16,2022,4,5,Primavera,Album,29,29.26,Baja,0,0
Paulo Londra,Techno,153,154,1,0,0,1,0,,2022-04-16,2022,4,5,Primavera,Single,84,71.9,Alta,1,0
Alan Walker,Trap,110,196,6,0,0,1,1,Anuel AA,2022-04-17,2022,4,6,Primavera,Single,60,100.0,Alta,1,1
Drake,Metal,112,236,6,0,0,1,1,Kendrick Lamar,2022-04-19,2022,4,1,Primavera,Single,90,100.0,Alta,1,1
Karol G,Flamenco,104,254,1,0,0,1,1,Farruko,2022-04-20,2022,4,2,Primavera,Album,85,71.76,Alta,1,0
Anuel AA,Jazz,94,219,2,1,0,1,0,,2022-04-21,2022,4,3,Primavera,Single,83,57.88,Media,1,0
Calvin Harris,Dance,104,150,10,0,0,1,0,,2022-04-23,2022,4,5,Primavera,Single,38,48.92,Media,0,0
Lil Baby,Soul,91,270,10,0,1,0,1,Halsey,2022-04-23,2022,4,5,Primavera,Album,52,85.03,Alta,1,0
Martin Garrix,Drill,86,195,3,1,0,1,0,,2022-04-26,2022,4,1,Primavera,Single,45,44.12,Media,0,0
Feid,Soul,98,224,9,0,0,1,0,,2022-04-28,2022,4,3,Primavera,Album,34,20.04,Baja,0,0
Halsey,Reggaeton,87,256,4,0,0,1,0,,2022-04-29,2022,4,4,Primavera,Single,59,68.72,Media,1,0
Sam Smith,Funk,88,145,11,1,0,1,1,Coldplay,2022-04-30,2022,4,5,Primavera,Single,61,84.71,Alta,1,0
Zara Larsson,R&B,79,187,3,0,0,1,0,,2022-05-01,2022,5,6,Primavera,Album,33,40.65,Media,0,0
Kanye West,Clásica,100,176,8,1,0,1,0,,2022-05-03,2022,5,1,Primavera,Album,66,36.58,Media,0,0
Miley Cyrus,Drill,91,228,10,1,0,1,1,Harry Styles,2022-05-04,2022,5,2,Primavera,Single,52,57.1,Media,1,0
Wisin & Yandel,R&B,93,196,2,0,0,1,0,,2022-05-06,2022,5,4,Primavera,Single,47,60.33,Media,1,0
Cardi B,Lofi,94,168,2,0,0,1,1,Myke Towers,2022-05-09,2022,5,0,Primavera,Single,87,73.74,Alta,1,0
The Kid LAROI,Folk,81,246,9,0,0,1,0,,2022-05-09,2022,5,0,Primavera,Album,89,45.24,Media,0,0
Rauw Alejandro,Experimental,88,241,9,1,0,1,1,Juice WRLD,2022-05-12,2022,5,3,Primavera,Single,72,87.05,Alta,1,0
Myke Towers,Dance,92,232,8,1,1,0,1,Megan Thee Stallion,2022-05-14,2022,5,5,Primavera,Single,86,65.53,Media,1,0
The Weeknd,R&B,159,165,3,0,0,1,1,Myke Towers,2022-05-15,2022,5,6,Primavera,Single,91,66.4,Media,1,0
Bruno Mars,Urbano,91,252,11,0,0,1,1,Lil Nas X,2022-05-16,2022,5,0,Primavera,Single,85,74.84,Alta,1,0
Doja Cat,Soul,101,272,10,0,1,0,1,The Weeknd,2022-05-16,2022,5,0,Primavera,Album,78,57.37,Media,1,0
Lil Nas X,Blues,85,236,2,1,0,1,0,,2022-05-16,2022,5,0,Primavera,Single,47,49.8,Media,0,0
Bad Bunny,Reggaeton,97,191,8,0,0,1,0,,2022-05-18,2022,5,2,Primavera,Single,67,66.04,Media,1,0
Lewis Capaldi,Country,103,240,2,1,1,0,1,Billie Eilish,2022-05-21,2022,5,5,Primavera,Album,92,69.81,Media,1,0
María Becerra,Latino,93,199,4,1,0,1,1,Rauw Alejandro,2022-05-22,2022,5,6,Primavera,Single,49,70.96,Alta,1,0
Charlie Puth,K-Pop,104,271,0,1,0,1,0,,2022-05-27,2022,5,4,Primavera,Single,35,56.37,Media,1,0
Megan Thee Stallion,House,164,154,6,0,0,1,0,,2022-05-27,2022,5,4,Primavera,Single,39,57.25,Media,1,0
Rihanna,Experimental,104,180,6,1,0,1,1,Peso Pluma,2022-05-30,2022,5,0,Primavera,Single,56,31.0,Media,0,0
Nicky Jam,Tropical,137,242,5,0,0,1,0,,2022-06-04,2022,6,5,Verano,Single,63,92.9,Alta,1,1
The Weeknd,Punk,143,172,9,1,0,1,0,,2022-06-05,2022,6,6,Verano,Album,76,52.1,Media,1,0
Manuel Turizo,Flamenco,98,256,0,0,0,1,0,,2022-06-06,2022,6,0,Verano,Album,34,44.62,Media,0,0
Migos,Reggaeton,112,249,3,1,0,1,1,Drake,2022-06-07,2022,6,1,Verano,Single,38,76.02,Alta,1,0
Peso Pluma,Country,125,252,4,1,0,1,1,Coldplay,2022-06-11,2022,6,5,Verano,Album,91,81.58,Alta,1,0
Lil Uzi Vert,Indie,90,232,0,0,0,1,0,,2022-06-13,2022,6,0,Verano,Single,49,56.49,Media,1,0
Tini,Reggaeton,105,170,2,0,0,1,1,María Becerra,2022-06-14,2022,6,1,Verano,Single,65,72.39,Alta,1,0
Don Omar,Punk,161,199,6,1,0,1,0,,2022-06-17,2022,6,4,Verano,Album,75,79.33,Alta,1,0
Farruko,Flamenco,80,186,4,0,0,1,0,,2022-06-18,2022,6,5,Verano,Single,26,43.11,Media,0,0
María Becerra,Urbano,98,214,2,1,0,1,1,Ozuna,2022-06-20,2022,6,0,Verano,Single,34,79.31,Alta,1,0
Anitta,Punk,141,198,0,1,0,1,0,,2022-06-21,2022,6,1,Verano,Single,35,67.71,Media,1,0
Olivia Rodrigo,Reggaeton,100,172,8,1,0,1,0,,2022-06-22,2022,6,2,Verano,Single,72,86.48,Alta,1,0
Maluma,Indie,118,213,7,0,0,1,0,,2022-06-24,2022,6,4,Verano,Single,74,59.6,Media,1,0
Lady Gaga,Tropical,139,201,1,1,0,1,0,,2022-06-30,2022,6,3,Verano,Album,84,54.65,Media,1,0
Jack Harlow,Funk,97,146,11,0,0,1,0,,2022-07-03,2022,7,6,Verano,Single,65,76.37,Alta,1,0
Rosalía,K-Pop,105,211,2,1,0,1,1,Migos,2022-07-04,2022,7,0,Verano,Album,65,77.97,Alta,1,0
David Guetta,Country,120,237,8,0,0,1,1,Zara Larsson,2022-07-05,2022,7,1,Verano,Single,75,90.72,Alta,1,0
BTS,Country,99,206,6,0,0,1,0,,2022-07-08,2022,7,4,Verano,Album,59,67.59,Media,1,0
Twenty One Pilots,Jazz,83,162,3,1,1,0,1,Selena Gomez,2022-07-15,2022,7,4,Verano,Single,41,68.24,Media,1,0
Farruko,Clásica,93,161,9,1,0,1,0,,2022-07-18,2022,7,0,Verano,Single,92,86.92,Alta,1,0
Juice WRLD,Experimental,99,189,6,1,0,1,0,,2022-07-18,2022,7,0,Verano,Single,44,55.86,Media,1,0
Myke Towers,Flamenco,114,291,3,1,0,1,0,,2022-07-18,2022,7,0,Verano,Album,37,41.52,Media,0,0
Alan Walker,Trap,92,188,11,1,0,1,1,Juice WRLD,2022-07-19,2022,7,1,Verano,Single,53,89.86,Alta,1,0
BTS,Urbano,119,256,6,1,1,0,0,,2022-07-19,2022,7,1,Verano,Single,70,74.28,Alta,1,0
Jhayco,Electrónica,128,195,7,1,0,1,0,,2022-07-19,2022,7,1,Verano,Single,60,75.02,Alta,1,0
Rauw Alejandro,Indie,105,230,9,0,1,0,0,,2022-07-20,2022,7,2,Verano,Album,88,90.02,Alta,1,0
Imagine Dragons,Electrónica,145,245,11,1,1,0,0,,2022-07-22,2022,7,4,Verano,Single,47,44.33,Media,0,0
Martin Garrix,Drill,145,184,10,0,0,1,1,Juice WRLD,2022-07-22,2022,7,4,Verano,Single,54,82.09,Alta,1,0
Don Omar,Punk,177,224,6,0,0,1,0,,2022-07-23,2022,7,5,Verano,Single,40,62.81,Media,1,0
Shakira,Country,111,224,6,1,0,1,1,Travis Scott,2022-07-23,2022,7,5,Verano,Single,84,100.0,Alta,1,0
Katy Perry,Lofi,89,193,4,0,0,1,0,,2022-07-25,2022,7,0,Verano,Single,78,67.25,Media,1,0
Kendrick Lamar,Drill,127,161,2,1,0,1,1,Juice WRLD,2022-07-28,2022,7,3,Verano,Single,59,100.0,Alta,1,1
Feid,Trap,110,214,9,0,0,1,1,Sebastian Yatra,2022-07-31,2022,7,6,Verano,Single,70,68.98,Media,1,0
Harry Styles,Funk,98,226,11,1,0,1,0,,2022-07-31,2022,7,6,Verano,Single,63,41.36,Media,0,0
Tini,Reggaeton,101,239,7,1,0,1,1,Travis Scott,2022-07-31,2022,7,6,Verano,Album,69,87.64,Alta,1,0
Twenty One Pilots,Disco,82,184,4,0,0,1,1,Peso Pluma,2022-07-31,2022,7,6,Verano,Album,51,73.71,Alta,1,0
Coldplay,Trap,121,211,10,0,0,1,1,Harry Styles,2022-08-01,2022,8,0,Verano,Album,35,68.06,Media,1,0
Young Thug,Alternativo,76,176,8,0,0,1,0,,2022-08-01,2022,8,0,Verano,Single,87,75.08,Alta,1,0
Billie Eilish,Country,87,255,8,1,0,1,0,,2022-08-02,2022,8,1,Verano,Album,26,50.56,Media,1,0
Ariana Grande,Synthwave,123,252,9,1,0,1,0,,2022-08-03,2022,8,2,Verano,Album,77,71.42,Alta,1,0
Beyoncé,Pop Latino,151,149,7,1,0,1,1,Jhayco,2022-08-03,2022,8,2,Verano,Album,39,78.87,Alta,1,0
Jack Harlow,Funk,97,141,4,1,0,1,1,Eminem,2022-08-04,2022,8,3,Verano,Album,41,78.99,Alta,1,0
Ed Sheeran,Punk,175,197,8,1,0,1,1,BTS,2022-08-09,2022,8,1,Verano,Album,65,50.68,Media,1,0
Travis Scott,Trap,82,187,11,1,0,1,0,,2022-08-09,2022,8,1,Verano,Album,55,51.59,Media,1,0
Megan Thee Stallion,House,139,160,1,1,1,0,1,Beyoncé,2022-08-11,2022,8,3,Verano,Single,56,91.95,Alta,1,0
Paulo Londra,Electrónica,159,202,2,0,0,1,0,,2022-08-13,2022,8,5,Verano,Single,41,74.6,Alta,1,0
Sam Smith,Funk,119,163,3,1,0,1,1,Harry Styles,2022-08-15,2022,8,0,Verano,Single,52,88.23,Alta,1,0
Lewis Capaldi,Pop Latino,113,218,8,0,0,1,1,Ozuna,2022-08-16,2022,8,1,Verano,Single,52,79.56,Alta,1,0
Dua Lipa,K-Pop,97,223,4,1,0,1,1,Rosalía,2022-08-18,2022,8,3,Verano,Single,41,88.7,Alta,1,0
Nicki Minaj,Electrónica,131,166,5,1,0,1,0,,2022-08-18,2022,8,3,Verano,Single,67,79.63,Alta,1,0
Myke Towers,Blues,106,180,11,1,1,0,1,Migos,2022-08-20,2022,8,5,Verano,Single,70,66.46,Media,1,0
Blackpink,Funk,86,185,5,0,0,1,0,,2022-08-22,2022,8,0,Verano,Single,35,63.87,Media,1,0
Coldplay,Trap,71,193,7,0,0,1,1,Rihanna,2022-08-22,2022,8,0,Verano,Single,77,79.21,Alta,1,0
Zara Larsson,R&B,85,183,8,0,0,1,0,,2022-08-27,2022,8,5,Verano,Album,77,79.38,Alta,1,0
J Balvin,Rock,141,188,6,0,0,1,0,,2022-08-28,2022,8,6,Verano,Album,40,52.28,Media,1,0
Sam Smith,Punk,123,190,4,0,0,1,0,,2022-08-28,2022,8,6,Verano,Single,45,79.95,Alta,1,0
Calvin Harris,Pop,112,152,6,1,0,1,1,Justin Bieber,2022-08-31,2022,8,2,Verano,Single,70,88.6,Alta,1,0
Lil Uzi Vert,Indie,106,237,1,1,0,1,0,,2022-09-01,2022,9,3,Otoño,Single,79,49.12,Media,0,0
Nicky Jam,Rock,124,185,11,0,0,1,0,,2022-09-01,2022,9,3,Otoño,Single,74,36.79,Media,0,0
Lil Nas X,Urbano,121,203,8,1,0,1,0,,2022-09-02,2022,9,4,Otoño,Album,35,56.28,Media,1,0
Anuel AA,Country,82,194,9,0,0,1,1,Alan Walker,2022-09-03,2022,9,5,Otoño,Single,81,67.44,Media,1,0
Miley Cyrus,Indie,103,182,5,1,0,1,0,,2022-09-04,2022,9,6,Otoño,Single,70,63.51,Media,1,0
Twenty One Pilots,Jazz,77,181,6,0,0,1,1,Wisin & Yandel,2022-09-04,2022,9,6,Otoño,Single,45,63.53,Media,1,0
Adele,Experimental,90,194,0,0,1,0,0,,2022-09-05,2022,9,0,Otoño,Single,76,55.55,Media,1,0
Demi Lovato,Techno,140,212,3,0,1,0,0,,2022-09-05,2022,9,0,Otoño,Single,58,52.64,Media,1,0
Kanye West,Lofi,116,173,8,1,1,0,0,,2022-09-05,2022,9,0,Otoño,Single,45,35.05,Media,0,0
DaBaby,Synthwave,94,187,0,0,0,1,0,,2022-09-06,2022,9,1,Otoño,Single,89,46.43,Media,0,0
Travis Scott,R&B,104,267,9,0,0,1,1,Shawn Mendes,2022-09-08,2022,9,3,Otoño,Album,53,40.62,Media,0,0
Lil Uzi Vert,Urbano,83,231,11,1,0,1,0,,2022-09-11,2022,9,6,Otoño,Single,50,41.07,Media,0,0
Lil Baby,Punk,93,216,7,0,0,1,1,Katy Perry,2022-09-18,2022,9,6,Otoño,Single,87,82.39,Alta,1,0
Taylor Swift,Flamenco,109,166,2,0,0,1,0,,2022-09-19,2022,9,0,Otoño,Single,64,100.0,Alta,1,1
Zara Larsson,R&B,87,136,3,0,0,1,1,Harry Styles,2022-09-20,2022,9,1,Otoño,Single,80,66.75,Media,1,0
Bad Bunny,Folk,94,192,8,1,0,1,0,,2022-09-24,2022,9,5,Otoño,Single,35,46.03,Media,0,0
Juice WRLD,Urbano,95,182,4,0,0,1,1,Kendrick Lamar,2022-09-24,2022,9,5,Otoño,Single,48,58.75,Media,1,0
SZA,Rap,115,255,4,1,0,1,0,,2022-09-24,2022,9,5,Otoño,Album,78,49.99,Media,0,0
Coldplay,Trap,132,204,7,0,0,1,1,J Balvin,2022-09-27,2022,9,1,Otoño,Single,54,67.01,Media,1,0
Charlie Puth,K-Pop,67,273,11,0,0,1,0,,2022-10-03,2022,10,0,Otoño,Single,67,52.78,Media,1,0
Olivia Rodrigo,Reggaeton,102,269,0,1,0,1,0,,2022-10-05,2022,10,2,Otoño,Single,61,50.91,Media,1,0
Billie Eilish,Techno,82,271,10,1,1,0,0,,2022-10-06,2022,10,3,Otoño,Album,50,50.58,Media,1,0
Calvin Harris,Pop,116,174,10,1,0,1,0,,2022-10-07,2022,10,4,Otoño,Album,46,47.65,Media,0,0
Eminem,Funk,125,215,7,0,0,1,0,,2022-10-09,2022,10,6,Otoño,Album,37,38.39,Media,0,0
Shakira,Blues,127,246,4,1,0,1,0,,2022-10-10,2022,10,0,Otoño,Single,61,69.04,Media,1,0
Tini,Reggaeton,106,222,2,1,0,1,0,,2022-10-11,2022,10,1,Otoño,Single,86,62.49,Media,1,0
Shawn Mendes,Rock,78,203,8,0,0,1,0,,2022-10-12,2022,10,2,Otoño,Album,40,75.89,Alta,1,1
Feid,Trap,105,225,0,1,0,1,1,Eminem,2022-10-14,2022,10,4,Otoño,Single,40,29.08,Baja,0,0
Alan Walker,Rock,140,181,6,0,0,1,0,,2022-10-22,2022,10,5,Otoño,Single,65,100.0,Alta,1,1
Dua Lipa,Reggaeton,96,258,7,0,0,1,0,,2022-10-22,2022,10,5,Otoño,Album,64,69.61,Media,1,0
Selena Gomez,Metal,137,246,11,1,1,0,0,,2022-10-23,2022,10,6,Otoño,Single,64,58.65,Media,1,0
